weight	pos_examples	neg_examples	queries	description
-3.69625	36	679	1220	relation_mention_lr-per:title_IND_STARTS_WITH_CAPITAL_%|%True%|%True
-2.72648	494	648	3097	relation_mention_lr-per:title_IND_INV_STARTS_WITH_CAPITAL_%|%True%|%True
-2.58513	0	604	18118	relation_mention_lr-per:other_family_IND_STARTS_WITH_CAPITAL_%|%True%|%True
-2.42349	0	113	20	relation_mention_lr-per:employee_or_member_of_IND_STARTS_WITH_CAPITAL_%|%True%|%False
-2.3409	0	1158	18167	relation_mention_lr-per:other_family_IND_IS_INVERTED
-2.19697	1	113	31	relation_mention_lr-per:spouse_IND_STARTS_WITH_CAPITAL_%|%True%|%False
-2.17794	59	1107	18167	relation_mention_lr-per:children_IND_IS_INVERTED
-2.01673	48	1116	18167	relation_mention_lr-per:parents_IND_IS_INVERTED
-2.01146	0	114	31	relation_mention_lr-per:siblings_IND_STARTS_WITH_CAPITAL_%|%True%|%False
-1.95238	0	1062	18118	relation_mention_lr-per:other_family_IND_INV_STARTS_WITH_CAPITAL_%|%True%|%True
-1.9444	48	562	18118	relation_mention_lr-per:children_IND_STARTS_WITH_CAPITAL_%|%True%|%True
-1.93261	0	95	13	relation_mention_lr-per:spouse_IND_INV_STARTS_WITH_CAPITAL_%|%True%|%False
-1.83117	59	553	18118	relation_mention_lr-per:parents_IND_STARTS_WITH_CAPITAL_%|%True%|%True
-1.80249	0	589	4772	relation_mention_lr-per:date_of_death_IND_IS_INVERTED
-1.8022	132	1036	18167	relation_mention_lr-per:siblings_IND_IS_INVERTED
-1.79461	2	658	4342	relation_mention_lr-per:schools_attended_IND_IS_INVERTED
-1.78015	0	667	1078	relation_mention_lr-per:origin_IND_IS_INVERTED
-1.77486	0	589	4772	relation_mention_lr-per:date_of_birth_IND_IS_INVERTED
-1.76249	0	589	0	relation_mention_lr-per:religion_IND_IS_INVERTED
-1.72888	0	589	2983	relation_mention_lr-per:age_IND_IS_INVERTED
-1.69839	0	95	16	relation_mention_lr-per:employee_or_member_of_IND_INV_STARTS_WITH_CAPITAL_%|%True%|%False
-1.65248	0	589	0	relation_mention_lr-per:cause_of_death_IND_IS_INVERTED
-1.64103	1	666	1078	relation_mention_lr-per:LOCATION_of_death_IND_IS_INVERTED
-1.62031	1	11	113	relation_mention_lr-per:spouse_LEN_LENGTHS_%|%5%|%11
-1.59703	0	478	8	relation_mention_lr-per:employee_or_member_of_SEQ_INV_WORD_%|%
