weight	pos_examples	neg_examples	queries	description
3.56216	113	1	6629	relation_mention_lr-per:title_IND_STARTS_WITH_CAPITAL_%|%True%|%False
2.60625	95	0	5043	relation_mention_lr-per:title_IND_INV_STARTS_WITH_CAPITAL_%|%True%|%False
1.97282	478	0	3335	relation_mention_lr-per:title_SEQ_INV_LEMMA_%|%
1.97282	478	0	3335	relation_mention_lr-per:title_SEQ_INV_POS_%|%
1.97282	478	0	3335	relation_mention_lr-per:title_SEQ_INV_WORD_%|%
1.97282	478	0	3335	relation_mention_lr-per:title_SEQ_INV_NER_%|%
1.88952	19	6	111	relation_mention_lr-per:siblings_SEQ_INV_NGRAM_1_%|%~!sister
1.8115	42	0	176	relation_mention_lr-per:title_LEN_LENGTHS_%|%12%|%9
1.56022	208	0	296	relation_mention_lr-per:title_LEN_INV_LENGTHS_%|%11%|%9
1.46706	30	2	270	relation_mention_lr-per:spouse_SEQ_NGRAM_1_%|%~!wife
1.46612	81	3	189	relation_mention_lr-per:title_LEN_INV_LENGTHS_%|%12%|%9
1.42878	21	0	37	relation_mention_lr-per:employee_or_member_of_LEN_INV_LENGTHS_%|%3%|%7
1.40028	11	1	113	relation_mention_lr-per:siblings_LEN_INV_LENGTHS_%|%11%|%5
1.39275	31	10	247	relation_mention_lr-per:siblings_SEQ_NGRAM_1_%|%~!brother
1.39239	54	0	169	relation_mention_lr-per:title_LEN_LENGTHS_%|%11%|%9
1.38832	19	0	116	relation_mention_lr-per:siblings_LEN_LENGTHS_%|%11%|%5
1.38502	77	34	1398	relation_mention_lr-per:spouse_SEQ_INV_NGRAM_1_%|%~!she
1.33949	30	3	270	relation_mention_lr-per:spouse_SEQ_INV_NGRAM_1_%|%~!wife
1.33535	29	0	166	relation_mention_lr-per:spouse_LEN_INV_LENGTHS_%|%13%|%12
1.31588	11	1	113	relation_mention_lr-per:siblings_LEN_LENGTHS_%|%5%|%11
1.31152	20	3	175	relation_mention_lr-per:siblings_LEN_INV_LENGTHS_%|%12%|%11
1.24068	23	11	627	relation_mention_lr-per:spouse_SEQ_INV_NER_%|%O@|@O
1.20148	19	6	111	relation_mention_lr-per:siblings_SEQ_NGRAM_1_%|%~!sister
1.09358	7	5	102	relation_mention_lr-per:parents_LEN_INV_LENGTHS_%|%7%|%12
1.07495	29	0	166	relation_mention_lr-per:spouse_LEN_LENGTHS_%|%12%|%13
1.07204	341	721	18118	relation_mention_lr-per:spouse_IND_INV_STARTS_WITH_CAPITAL_%|%True%|%True
1.03098	14	0	319	relation_mention_lr-per:employee_or_member_of_SEQ_INV_NER_%|%TITLE
1.03084	4	2	33	relation_mention_lr-per:children_SEQ_INV_NGRAM_1_%|%~!mom
1.02215	22	0	278	relation_mention_lr-per:title_SEQ_WIN_NER_L_1_R_1_%|%TITLE%|%PERSON
1.02215	21	0	234	relation_mention_lr-per:title_SEQ_WIN_NER_L_1_R_2_%|%TITLE%|%PERSON@|@PERSON
1.01627	20	3	175	relation_mention_lr-per:siblings_LEN_LENGTHS_%|%11%|%12
1.00722	31	0	60	relation_mention_lr-per:employee_or_member_of_LEN_LENGTHS_%|%3%|%7
0.999287	23	0	91	relation_mention_lr-per:employee_or_member_of_SEQ_INV_NGRAM_1_%|%~!Chairman
0.985535	12	0	80	relation_mention_lr-per:title_LEN_INV_LENGTHS_%|%5%|%9
0.969312	7	5	163	relation_mention_lr-per:parents_LEN_INV_LENGTHS_%|%11%|%11
0.949195	18	0	197	relation_mention_lr-per:title_SEQ_WIN_NER_L_1_R_3_%|%TITLE%|%PERSON@|@PERSON@|@O
0.940563	13	1	42	relation_mention_lr-per:title_SEQ_INV_NGRAM_1_%|%~!Raul
0.940563	13	1	36	relation_mention_lr-per:title_SEQ_INV_NGRAM_2_%|%~!Raul@|@~!Castro
0.925334	23	1	146	relation_mention_lr-per:spouse_SEQ_INV_NGRAM_1_%|%~!husband
0.911515	19	0	116	relation_mention_lr-per:siblings_LEN_INV_LENGTHS_%|%5%|%11
0.897469	4	8	141	relation_mention_lr-per:parents_LEN_LENGTHS_%|%13%|%13
0.889403	94	55	8125	relation_mention_lr-per:employee_or_member_of_IND_STARTS_WITH_CAPITAL_%|%True%|%True
0.888693	19	3	71	relation_mention_lr-per:title_SEQ_INV_NGRAM_1_%|%~!Castro
0.883467	12	20	183	relation_mention_lr-per:children_SEQ_INV_NGRAM_1_%|%~!father
0.880038	38	3	131	relation_mention_lr-per:title_LEN_INV_LENGTHS_%|%13%|%9
0.878982	4	2	94	relation_mention_lr-per:children_LEN_INV_LENGTHS_%|%12%|%10
0.86696	77	35	1398	relation_mention_lr-per:spouse_SEQ_NGRAM_1_%|%~!she
0.864432	16	2	105	relation_mention_lr-per:spouse_SEQ_NGRAM_1_%|%~!marry
0.842754	55	34	1711	relation_mention_lr-per:employee_or_member_of_IND_KW_%|%founder
0.838472	10	1	146	relation_mention_lr-per:parents_SEQ_NGRAM_2_%|%~!son@|@~!of
0.818026	341	263	18118	relation_mention_lr-per:spouse_IND_STARTS_WITH_CAPITAL_%|%True%|%True
0.814044	25	10	1851	relation_mention_lr-per:spouse_SEQ_INV_NGRAM_1_%|%~!-lrb-
0.807901	37	34	910	relation_mention_lr-per:title_SEQ_NGRAM_1_%|%~!as
0.807801	16	5	384	relation_mention_lr-per:spouse_SEQ_INV_NER_%|%O@|@O@|@O@|@O@|@O
0.797463	7	5	163	relation_mention_lr-per:children_LEN_LENGTHS_%|%11%|%11
0.796998	94	10	1153	relation_mention_lr-per:spouse_SEQ_INV_POS_%|%CC
0.791716	25	7	162	relation_mention_lr-per:title_SEQ_INV_NGRAM_1_%|%~!President
0.787266	6	4	78	relation_mention_lr-per:siblings_SEQ_NER_%|%O@|@TITLE
0.783649	27	104	916	relation_mention_lr-per:employee_or_member_of_IND_INV_KW_%|%founder
0.776739	3	1	43	relation_mention_lr-per:children_SEQ_NGRAM_2_%|%~!he@|@~!son
0.775558	12	1	68	relation_mention_lr-per:spouse_LEN_INV_LENGTHS_%|%15%|%15
0.769854	14	7	144	relation_mention_lr-per:siblings_SEQ_NGRAM_1_%|%~!since
0.769576	51	39	1963	relation_mention_lr-per:spouse_SEQ_INV_NGRAM_1_%|%~!with
0.767578	91	3	171	relation_mention_lr-per:title_LEN_INV_LENGTHS_%|%14%|%9
0.765332	7	8	274	relation_mention_lr-per:parents_LEN_INV_LENGTHS_%|%7%|%5
0.761938	2	2	98	relation_mention_lr-per:siblings_LEN_LENGTHS_%|%12%|%5
0.753892	8	18	375	relation_mention_lr-per:children_SEQ_NGRAM_1_%|%~!son
0.749722	10	0	146	relation_mention_lr-per:children_SEQ_INV_NGRAM_2_%|%~!son@|@~!of
0.731123	5	7	137	relation_mention_lr-per:children_LEN_INV_LENGTHS_%|%12%|%14
0.729578	3	0	7	relation_mention_lr-per:parents_SEQ_NGRAM_1_%|%~!mama
0.726906	48	3	6313	relation_mention_lr-org:founded_by_IND_INV_STARTS_WITH_CAPITAL_%|%True%|%True
0.726906	48	3	6331	relation_mention_lr-org:founded_by_IND_IS_INVERTED
0.723527	31	19	247	relation_mention_lr-per:siblings_SEQ_INV_NGRAM_1_%|%~!brother
0.721554	1	0	1	relation_mention_lr-per:siblings_SEQ_WIN_LEMMA_L_1_R_1_%|%~!\\/%|%~!'s
0.721554	1	0	1	relation_mention_lr-per:siblings_SEQ_WIN_LEMMA_L_3_R_1_%|%~!live@|@~!w@|@~!\\/%|%~!'s
0.721554	1	0	1	relation_mention_lr-per:siblings_SEQ_WIN_LEMMA_L_1_R_2_%|%~!\\/%|%~!'s@|@~!transformation
0.721554	1	0	1	relation_mention_lr-per:siblings_SEQ_WIN_LEMMA_L_2_R_2_%|%~!w@|@~!\\/%|%~!'s@|@~!transformation
0.721554	1	0	1	relation_mention_lr-per:siblings_SEQ_WIN_LEMMA_L_3_R_2_%|%~!live@|@~!w@|@~!\\/%|%~!'s@|@~!transformation
0.721554	1	0	1	relation_mention_lr-per:siblings_SEQ_WIN_LEMMA_L_2_R_1_%|%~!w@|@~!\\/%|%~!'s
0.715	19	15	1586	relation_mention_lr-per:spouse_SEQ_NGRAM_1_%|%~!``
0.709798	4	2	80	relation_mention_lr-per:children_SEQ_NGRAM_2_%|%~!son@|@~!,
0.69804	10	1	33	relation_mention_lr-per:spouse_SEQ_POS_%|%CC@|@NN
0.694042	10	0	197	relation_mention_lr-per:employee_or_member_of_SEQ_INV_POS_%|%NNP
0.692988	21	0	91	relation_mention_lr-per:spouse_LEN_INV_LENGTHS_%|%15%|%14
0.69198	69	505	5397	relation_mention_lr-per:employee_or_member_of_IND_INV_STARTS_WITH_CAPITAL_%|%True%|%True
0.689344	6	4	186	relation_mention_lr-per:siblings_LEN_LENGTHS_%|%12%|%12
0.687536	53	30	2873	relation_mention_lr-per:employee_or_member_of_SEQ_NGRAM_1_%|%~!of
