doc_id,id,mid1,mid2,word1,word2,rel,is_correct
AFP_ENG_20071204.0232.LDC2009T13,47148,AFP_ENG_20071204.0232.LDC2009T13_357_368,AFP_ENG_20071204.0232.LDC2009T13_347_356,hugo chavez,president,per:employee_or_member_of,f
APW_ENG_20080202.0818.LDC2009T13,180,APW_ENG_20080202.0818.LDC2009T13_2279_2291,APW_ENG_20080202.0818.LDC2009T13_2296_2309,heidi montag,spencer pratt,per:title,f
NYT_ENG_20070414.0032.LDC2009T13,217567,NYT_ENG_20070414.0032.LDC2009T13_565_582,NYT_ENG_20070414.0032.LDC2009T13_478_487,old lane partners,citigroup,org:alternate_names,f
APW_ENG_20071116.1329.LDC2009T13,319706,APW_ENG_20071116.1329.LDC2009T13_1759_1771,APW_ENG_20071116.1329.LDC2009T13_1749_1758,roh moo-hyun,president,per:siblings,f
XIN_ENG_20080226.0090.LDC2009T13,341226,XIN_ENG_20080226.0090.LDC2009T13_1217_1228,XIN_ENG_20080226.0090.LDC2009T13_1254_1263,raul castro,president,per:children,f
APW_ENG_20080325.1245.LDC2009T13,272974,APW_ENG_20080325.1245.LDC2009T13_1579_1593,APW_ENG_20080325.1245.LDC2009T13_1569_1578,george w. bush,president,per:origin,f
AFP_ENG_20070726.0371.LDC2009T13,169518,AFP_ENG_20070726.0371.LDC2009T13_3471_3485,AFP_ENG_20070726.0371.LDC2009T13_3461_3470,george w. bush,president,per:LOCATION_of_birth,f
AFP_ENG_20070506.0094.LDC2009T13,229972,AFP_ENG_20070506.0094.LDC2009T13_1844_1863,AFP_ENG_20070506.0094.LDC2009T13_1834_1843,mahmoud ahmadinejad,president,per:schools_attended,f
NYT_ENG_20080422.0213.LDC2009T13,306071,NYT_ENG_20080422.0213.LDC2009T13_2866_2869,NYT_ENG_20080422.0213.LDC2009T13_2885_2892,lee,samsung,per:origin,f
eng-WL-11-174587-12962589,222294,eng-WL-11-174587-12962589_316_329,eng-WL-11-174587-12962589_334_346,spencer pratt,heidi montag,per:siblings,f
NYT_ENG_20070605.0193.LDC2009T13,115737,NYT_ENG_20070605.0193.LDC2009T13_1172_1185,NYT_ENG_20070605.0193.LDC2009T13_1163_1171,deval patrick,governor,per:origin,f
NYT_ENG_20071211.0072.LDC2009T13,154107,NYT_ENG_20071211.0072.LDC2009T13_2381_2401,NYT_ENG_20071211.0072.LDC2009T13_2422_2431,robert b. willumstad,president,per:LOCATION_of_death,f
APW_ENG_20071219.1088.LDC2009T13,238920,APW_ENG_20071219.1088.LDC2009T13_1485_1499,APW_ENG_20071219.1088.LDC2009T13_1527_1539,britney spears,lynne spears,per:other_family,f
AFP_ENG_20080330.0023.LDC2009T13,169403,AFP_ENG_20080330.0023.LDC2009T13_522_533,AFP_ENG_20080330.0023.LDC2009T13_512_521,hugo chavez,president,per:age,f
XIN_ENG_20080924.0213.LDC2009T13,32543,XIN_ENG_20080924.0213.LDC2009T13_416_427,XIN_ENG_20080924.0213.LDC2009T13_406_415,hugo chavez,president,per:cause_of_death,f
APW_ENG_20071116.0532.LDC2009T13,340932,APW_ENG_20071116.0532.LDC2009T13_5107_5110,APW_ENG_20071116.0532.LDC2009T13_5193_5212,lee,samsung electronics,per:schools_attended,f
NYT_ENG_20071010.0023.LDC2009T13,26857,NYT_ENG_20071010.0023.LDC2009T13_4462_4489,NYT_ENG_20071010.0023.LDC2009T13_4420_4434,american family association,donald wildmon,org:shareholders,f
LTW_ENG_20070710.0106.LDC2009T13,88488,LTW_ENG_20070710.0106.LDC2009T13_2177_2188,LTW_ENG_20070710.0106.LDC2009T13_2233_2255,julian bond,university of virginia,per:LOCATION_of_birth,f
XIN_ENG_20040813.0282.LDC2007T07,8915,XIN_ENG_20040813.0282.LDC2007T07_346_357,XIN_ENG_20040813.0282.LDC2007T07_336_345,hugo chavez,president,per:parents,f
eng-NG-31-138139-9803479,185522,eng-NG-31-138139-9803479_1729_1740,eng-NG-31-138139-9803479_1844_1853,raul castro,president,per:siblings,f
eng-WL-107-174567-12932153,175223,eng-WL-107-174567-12932153_943_950,eng-WL-107-174567-12932153_1035_1047,cameron,paul sculfor,per:parents,f
eng-WL-11-174594-12961460,154094,eng-WL-11-174594-12961460_1022_1029,eng-WL-11-174594-12961460_1117_1127,britney,jamie lynn,per:children,f
