id,docid,type,eid,entity,prov,is_correct,category,expectation
146212,overlappingpdfs.138453.pdf.task,member,ROCK_DOC_overlappingpdfs.138453.pdf.task_2325_0_1,frame member,"{2325,0,1,""Frame Member""}",,1,1
861,overlappingpdfs.132532.pdf.task,formation,ROCK_DOC_overlappingpdfs.132532.pdf.task_44_5_5,niobrara formation,"{44,5,5,Niobrara}",,1,0.996
136622,overlappingpdfs.131246.pdf.task,formation,ROCK_DOC_overlappingpdfs.131246.pdf.task_103_9_9,kinzers formation,"{103,9,9,Kinzers}",,1,0.996
94927,overlappingpdfs.138519.pdf.task,ash,ROCK_DOC_overlappingpdfs.138519.pdf.task_1336_34_34,creek ash,"{1336,34,34,Creek}",,1,1
105027,overlappingpdfs.131702.pdf.task,limestone,ROCK_DOC_overlappingpdfs.131702.pdf.task_66_15_16,exsulans limestone formation,"{66,15,16,""Exsulans Limestone""}",,1,0.996
152425,overlappingpdfs.132555.pdf.task,formation,ROCK_DOC_overlappingpdfs.132555.pdf.task_972_12_12,maquoketa formation,"{972,12,12,Maquoketa}",,1,0.996
53326,overlappingpdfs.138573.pdf.task,beds,ROCK_DOC_overlappingpdfs.138573.pdf.task_3411_12_13,clarendon beds formation,"{3411,12,13,""Clarendon Beds""}",,1,0.996
18971,overlappingpdfs.138449.pdf.task,formation,ROCK_DOC_overlappingpdfs.138449.pdf.task_131_11_11,oldman formation,"{131,11,11,Oldman}",,1,0.996
115888,overlappingpdfs.135782.pdf.task,member,ROCK_DOC_overlappingpdfs.135782.pdf.task_148_1_2,cape bumey member,"{148,1,2,""Cape Bumey""}",,1,0.996
46306,overlappingpdfs.138707.pdf.task,member,ROCK_DOC_overlappingpdfs.138707.pdf.task_5_4_5,haystack valley member,"{5,4,5,""HAYSTACK VALLEY""}",,1,0.996
81609,overlappingpdfs.133044.pdf.task,formation,ROCK_DOC_overlappingpdfs.133044.pdf.task_921_25_25,mila formation,"{921,25,25,Mila}",,1,0.996
82981,overlappingpdfs.132622.pdf.task,formation,ROCK_DOC_overlappingpdfs.132622.pdf.task_773_3_5,los rastros formation,"{773,3,5,""Los Rastros Formation""}",,1,1
10458,overlappingpdfs.138375.pdf.task,group,ROCK_DOC_overlappingpdfs.138375.pdf.task_903_4_4,age group,"{903,4,4,age}",,1,0.996
32155,overlappingpdfs.135473.pdf.task,limestone,ROCK_DOC_overlappingpdfs.135473.pdf.task_63_32_33,lankey limestone formation,"{63,32,33,""Lankey Limestone""}",,1,0.996
93810,overlappingpdfs.138407.pdf.task,formation,ROCK_DOC_overlappingpdfs.138407.pdf.task_6095_27_27,wasatch formation,"{6095,27,27,Wasatch}",,1,0.996
94116,overlappingpdfs.138519.pdf.task,sand,ROCK_DOC_overlappingpdfs.138519.pdf.task_320_45_45,east sand,"{320,45,45,east}",,1,1
62855,overlappingpdfs.136256.pdf.task,formation,ROCK_DOC_overlappingpdfs.136256.pdf.task_198_28_30,liassic aramachay formation,"{198,28,30,""Liassic Aramachay Formation""}",,1,0.995
113866,overlappingpdfs.132302.pdf.task,formation,ROCK_DOC_overlappingpdfs.132302.pdf.task_576_21_23,isalo iiib formation,"{576,21,23,""Isalo IIIb Formation""}",,1,0.996
90149,overlappingpdfs.138519.pdf.task,sand,ROCK_DOC_overlappingpdfs.138519.pdf.task_3843_0_0,west sand,"{3843,0,0,West}",,1,1
100124,overlappingpdfs.135558.pdf.task,shale,ROCK_DOC_overlappingpdfs.135558.pdf.task_97_4_4,maotianshan shale,"{97,4,4,Maotianshan}",,1,0.996
30782,overlappingpdfs.130827.pdf.task,group,ROCK_DOC_overlappingpdfs.130827.pdf.task_416_10_11,mulloch hill group,"{416,10,11,""Mulloch Hill""}",,1,0.996
47414,overlappingpdfs.138707.pdf.task,formation,ROCK_DOC_overlappingpdfs.138707.pdf.task_1250_2_2,day formation,"{1250,2,2,Day}",,1,1
138876,overlappingpdfs.135517.pdf.task,clay,ROCK_DOC_overlappingpdfs.135517.pdf.task_580_21_21,kimmeridge clay,"{580,21,21,Kimmeridge}",,1,0.995
62278,overlappingpdfs.133097.pdf.task,formation,ROCK_DOC_overlappingpdfs.133097.pdf.task_1528_4_6,london clay formation,"{1528,4,6,""London Clay Formation""}",,1,0.999
83746,overlappingpdfs.132622.pdf.task,formation,ROCK_DOC_overlappingpdfs.132622.pdf.task_1364_9_9,ischigualasto formation,"{1364,9,9,Ischigualasto}",,1,1
93195,overlappingpdfs.138393.pdf.task,sandstone,ROCK_DOC_overlappingpdfs.138393.pdf.task_249_13_13,springdale sandstone,"{249,13,13,Springdale}",,1,1
130693,overlappingpdfs.132745.pdf.task,formation,ROCK_DOC_overlappingpdfs.132745.pdf.task_15_6_6,khuff formation,"{15,6,6,Khuff}",,1,0.996
49367,overlappingpdfs.138573.pdf.task,formation,ROCK_DOC_overlappingpdfs.138573.pdf.task_3615_13_15,ash hollow formation,"{3615,13,15,""Ash Hollow Formation""}",,1,0.996
152019,overlappingpdfs.132458.pdf.task,formation,ROCK_DOC_overlappingpdfs.132458.pdf.task_26_15_17,purbeck limestone formation,"{26,15,17,""Purbeck Limestone Formation""}",,1,0.996
91584,overlappingpdfs.138519.pdf.task,formation,ROCK_DOC_overlappingpdfs.138519.pdf.task_1538_34_36,sheep creek formation,"{1538,34,36,""Sheep Creek Formation""}",,1,1
2380,overlappingpdfs.138365.pdf.task,formation,ROCK_DOC_overlappingpdfs.138365.pdf.task_3053_7_7,formation formation,"{3053,7,7,formation}",,1,0.996
49337,overlappingpdfs.133060.pdf.task,formation,ROCK_DOC_overlappingpdfs.133060.pdf.task_97_33_34,tabuk formation,"{97,33,34,""Tabuk Formation""}",,1,0.996
138735,overlappingpdfs.132202.pdf.task,formations,ROCK_DOC_overlappingpdfs.132202.pdf.task_290_24_25,daohugou formations,"{290,24,25,""Daohugou Formations""}",,1,1
98166,overlappingpdfs.132660.pdf.task,formation,ROCK_DOC_overlappingpdfs.132660.pdf.task_95_16_17,tamayama formation,"{95,16,17,""Tamayama Formation""}",,1,0.996
132274,overlappingpdfs.136536.pdf.task,member,ROCK_DOC_overlappingpdfs.136536.pdf.task_212_11_11,seneca member,"{212,11,11,Seneca}",,1,1
1837,overlappingpdfs.138365.pdf.task,formation,ROCK_DOC_overlappingpdfs.138365.pdf.task_615_5_5,harrison formation,"{615,5,5,Harrison}",,1,1
19000,overlappingpdfs.138449.pdf.task,shale,ROCK_DOC_overlappingpdfs.138449.pdf.task_186_4_4,bearpaw shale,"{186,4,4,Bearpaw}",,1,0.994
38129,overlappingpdfs.132353.pdf.task,formation,ROCK_DOC_overlappingpdfs.132353.pdf.task_478_8_10,iurassic morrison formation,"{478,8,10,""Iurassic Morrison Formation""}",,1,0.996
50228,overlappingpdfs.133275.pdf.task,siltstone,ROCK_DOC_overlappingpdfs.133275.pdf.task_55_11_11,bryn siltstone,"{55,11,11,Bryn}",,1,0.996
