id,docid,type,eid,entity,author_year,prov,is_correct,category,expectation
977048,overlappingpdfs.138044.pdf.task,genus,TAXON_DOC_overlappingpdfs.138044.pdf.task_1038_10_10,tanius,"","{1038,10,10,Tanius}",,1,1
1289070,overlappingpdfs.137935.pdf.task,unranked clade,TAXON_DOC_overlappingpdfs.137935.pdf.task_5906_2_2,scincomorpha,"","{5906,2,2,SCINCOMORPHA}",,1,1
1034926,overlappingpdfs.133475.pdf.task,genus,TAXON_DOC_overlappingpdfs.133475.pdf.task_495_11_11,china,"","{495,11,11,China}",,1,0.996
912382,overlappingpdfs.132274.pdf.task,genus,TAXON_DOC_overlappingpdfs.132274.pdf.task_191_11_11,hispaniachelys,"","{191,11,11,Hispaniachelys}",,1,1
1359208,overlappingpdfs.133089.pdf.task,subgenus,TAXON_DOC_overlappingpdfs.133089.pdf.task_699_8_8,hyolithus,"","{699,8,8,Hyolithus}",,1,0.996
1295993,overlappingpdfs.138332.pdf.task,genus,TAXON_DOC_overlappingpdfs.138332.pdf.task_363_6_6,cyclopidius,"","{363,6,6,Cyclopidius}",,1,1
1177822,overlappingpdfs.138393.pdf.task,genus,TAXON_DOC_overlappingpdfs.138393.pdf.task_2122_3_3,turseodus,"","{2122,3,3,Turseodus}",,1,0.996
963225,overlappingpdfs.131561.pdf.task,genus,TAXON_DOC_overlappingpdfs.131561.pdf.task_618_7_7,tylothyris,"","{618,7,7,Tylothyris}",,1,1
1070348,overlappingpdfs.138678.pdf.task,species,TAXON_DOC_overlappingpdfs.138678.pdf.task_7829_19_20,boreallodape baltica,"","{7829,19,20,""Boreallodape baltica""}",,1,0.994
1060305,overlappingpdfs.138388.pdf.task,unranked clade,TAXON_DOC_overlappingpdfs.138388.pdf.task_723_1_1,elopomorpha,"","{723,1,1,Elopomorpha}",,1,1
1254825,overlappingpdfs.138313.pdf.task,species,TAXON_DOC_overlappingpdfs.138313.pdf.task_2500_1_2,leptaena dalman,"","{2500,1,2,""LEPTAENA DALMAN""}",,1,1
1436595,overlappingpdfs.132714.pdf.task,genus,TAXON_DOC_overlappingpdfs.132714.pdf.task_438_13_13,camacho,"","{438,13,13,Camacho}",,1,0.996
811503,overlappingpdfs.132547.pdf.task,species,TAXON_DOC_overlappingpdfs.132547.pdf.task_170_0_1,lepidactis wenlocki,"","{170,0,1,""Lepidactis wenlocki""}",,1,1
