id,docid,type,eid,entity,prov,is_correct,category,expectation
305432,overlappingpdfs.139500.pdf.task,INTERVAL,TIME_DOC_overlappingpdfs.139500.pdf.task_200_26_26,Tertiary|66.00000|2.58800,"{200,26,26,Tertiary}",,1,0.996
307205,overlappingpdfs.132592.pdf.task,INTERVAL,TIME_DOC_overlappingpdfs.132592.pdf.task_587_8_9,Early Cretaceous|145.5000|99.6000,"{587,8,9,""Early Cretaceous""}",,1,1
273522,overlappingpdfs.133074.pdf.task,INTERVAL,TIME_DOC_overlappingpdfs.133074.pdf.task_95_2_2,Cenomanian|100.50000|93.90000,"{95,2,2,Cenomanian}",,1,1
251777,overlappingpdfs.137494.pdf.task,INTERVAL,TIME_DOC_overlappingpdfs.137494.pdf.task_568_8_8,Oligocene|33.90000|23.03000,"{568,8,8,Oligocene}",,1,1
323429,overlappingpdfs.136084.pdf.task,INTERVAL,TIME_DOC_overlappingpdfs.136084.pdf.task_435_10_10,Ediacara|580.00000|541.00000,"{435,10,10,Ediacara}",,1,1
213127,overlappingpdfs.132333.pdf.task,INTERVAL,TIME_DOC_overlappingpdfs.132333.pdf.task_629_14_14,Oxynotum|196.50000|189.60000,"{629,14,14,oxynotum}",,1,1
231874,overlappingpdfs.138083.pdf.task,INTERVAL,TIME_DOC_overlappingpdfs.138083.pdf.task_592_4_4,Pliocene|5.33300|2.58800,"{592,4,4,Pliocene}",,1,1
327067,overlappingpdfs.132829.pdf.task,INTERVAL,TIME_DOC_overlappingpdfs.132829.pdf.task_60_4_5,Early Cretaceous|145.5000|99.6000,"{60,4,5,""Early Cretaceous""}",,1,1
340423,overlappingpdfs.133058.pdf.task,INTERVAL,TIME_DOC_overlappingpdfs.133058.pdf.task_108_18_18,Hettangian|201.30000|199.30000,"{108,18,18,Hettangian}",,1,1
197611,overlappingpdfs.132470.pdf.task,INTERVAL,TIME_DOC_overlappingpdfs.132470.pdf.task_37_9_9,Triassic|252.17000|201.30000,"{37,9,9,Triassic}",,1,0.996
331624,overlappingpdfs.138624.pdf.task,INTERVAL,TIME_DOC_overlappingpdfs.138624.pdf.task_4722_19_19,Canadian|485.40000|468.10000,"{4722,19,19,Canadian}",,1,0.999
238363,overlappingpdfs.132765.pdf.task,INTERVAL,TIME_DOC_overlappingpdfs.132765.pdf.task_16_10_10,Triassic|252.17000|201.30000,"{16,10,10,Triassic}",,1,1
194263,overlappingpdfs.132965.pdf.task,INTERVAL,TIME_DOC_overlappingpdfs.132965.pdf.task_635_17_17,Neocomian|145.00000|130.00000,"{635,17,17,Neocomian}",,1,0.996
301946,overlappingpdfs.138332.pdf.task,INTERVAL,TIME_DOC_overlappingpdfs.138332.pdf.task_297_29_29,Oligocene|33.90000|23.03000,"{297,29,29,Oligocene}",,1,0.996
