id,docid,type,eid1,eid2,entity1,entity2,is_correct,category,expectation
1530311,overlappingpdfs.132829.pdf.task,FORMATION,TAXON_DOC_overlappingpdfs.132829.pdf.task_435_2_3,ROCK_DOC_overlappingpdfs.132829.pdf.task_435_9_10,heteraster texanus,comanche peak formation,,1,0.996
1504798,overlappingpdfs.132660.pdf.task,FORMATION,TAXON_DOC_overlappingpdfs.132660.pdf.task_728_4_4,ROCK_DOC_overlappingpdfs.132660.pdf.task_728_10_10,reptilia,bearpaw formation,f,1,0.999
1459061,overlappingpdfs.138449.pdf.task,FORMATION,TAXON_DOC_overlappingpdfs.138449.pdf.task_1533_16_17,ROCK_DOC_overlappingpdfs.138449.pdf.task_1533_20_22,paraderma bogerti,judith river formation,,1,0.996
1497613,overlappingpdfs.1397.pdf.task,FORMATION,TAXON_DOC_overlappingpdfs.1397.pdf.task_37_18_18,ROCK_DOC_overlappingpdfs.1397.pdf.task_37_15_15,argentina,chubut group,f,1,0.999
1480523,overlappingpdfs.1368.pdf.task,FORMATION,TAXON_DOC_overlappingpdfs.1368.pdf.task_915_8_8,ROCK_DOC_overlappingpdfs.1368.pdf.task_915_17_18,semionotiformes,kota formation,t,1,0.996
1523941,overlappingpdfs.132609.pdf.task,FORMATION,TAXON_DOC_overlappingpdfs.132609.pdf.task_323_4_4,ROCK_DOC_overlappingpdfs.132609.pdf.task_323_9_9,neoceratopsia,medicine formation,,1,0.996
1454089,overlappingpdfs.138375.pdf.task,FORMATION,TAXON_DOC_overlappingpdfs.138375.pdf.task_3051_7_7,ROCK_DOC_overlappingpdfs.138375.pdf.task_3051_10_10,eumorphotis,thaynes formation,,1,0.996
1517948,overlappingpdfs.132859.pdf.task,FORMATION,TAXON_DOC_overlappingpdfs.132859.pdf.task_988_20_20,ROCK_DOC_overlappingpdfs.132859.pdf.task_988_16_17,montana,judith river formation,,1,0.996
1470126,overlappingpdfs.132470.pdf.task,FORMATION,TAXON_DOC_overlappingpdfs.132470.pdf.task_731_5_5,ROCK_DOC_overlappingpdfs.132470.pdf.task_731_12_12,lepidosauria,chinle group,,1,0.996
1532066,overlappingpdfs.138624.pdf.task,FORMATION,TAXON_DOC_overlappingpdfs.138624.pdf.task_6201_2_2,ROCK_DOC_overlappingpdfs.138624.pdf.task_6201_5_6,bivalvia,solsville member,,1,0.997
