id,docid,type,eid1,eid2,entity1,entity2,is_correct,category,expectation
588809,overlappingpdfs.132359.pdf.task,FORMATIONINTERVAL,ROCK_DOC_overlappingpdfs.132359.pdf.task_474_20_21,TIME_DOC_overlappingpdfs.132359.pdf.task_474_24_24,loogh formation,Givetian|387.70000|382.70000,,1,1
579396,overlappingpdfs.138450.pdf.task,FORMATIONINTERVAL,ROCK_DOC_overlappingpdfs.138450.pdf.task_327_13_13,TIME_DOC_overlappingpdfs.138450.pdf.task_327_11_12,trinity formation,Early Cretaceous|145.5000|99.6000,,1,1
590899,overlappingpdfs.130556.pdf.task,FORMATIONINTERVAL,ROCK_DOC_overlappingpdfs.130556.pdf.task_227_8_9,TIME_DOC_overlappingpdfs.130556.pdf.task_227_6_6,moenkopi formation,Buntsandstein|265.00000|252.30000,,1,1
593355,overlappingpdfs.138573.pdf.task,FORMATIONINTERVAL,ROCK_DOC_overlappingpdfs.138573.pdf.task_5606_15_16,TIME_DOC_overlappingpdfs.138573.pdf.task_5606_18_18,orinda formation,Clarendonian|13.60000|10.30000,t,1,0.996
606442,overlappingpdfs.132527.pdf.task,FORMATIONINTERVAL,ROCK_DOC_overlappingpdfs.132527.pdf.task_670_10_11,TIME_DOC_overlappingpdfs.132527.pdf.task_670_13_15_PART_1,santa maria formation,Late Triassic|228.0000|199.6000,,1,1
616617,overlappingpdfs.132661.pdf.task,FORMATIONINTERVAL,ROCK_DOC_overlappingpdfs.132661.pdf.task_300_22_23,TIME_DOC_overlappingpdfs.132661.pdf.task_300_15_15,fern glen formation,Mississippian|358.90000|323.20000,,1,0.996
579247,overlappingpdfs.132569.pdf.task,FORMATIONINTERVAL,ROCK_DOC_overlappingpdfs.132569.pdf.task_11_19_20,TIME_DOC_overlappingpdfs.132569.pdf.task_11_17_18,omingonde formation,Middle Triassic|245.0000|228.0000,,1,1
579671,overlappingpdfs.130847.pdf.task,FORMATIONINTERVAL,ROCK_DOC_overlappingpdfs.130847.pdf.task_1_23_24,TIME_DOC_overlappingpdfs.130847.pdf.task_1_21_22,wanakah shale,Middle Devonian|397.5000|385.3000,,1,1
608053,overlappingpdfs.133113.pdf.task,FORMATIONINTERVAL,ROCK_DOC_overlappingpdfs.133113.pdf.task_65_7_7,TIME_DOC_overlappingpdfs.133113.pdf.task_65_10_10,crato formation,Aptian|125.00000|113.00000,,1,1
601466,overlappingpdfs.136380.pdf.task,FORMATIONINTERVAL,ROCK_DOC_overlappingpdfs.136380.pdf.task_23_12_14,TIME_DOC_overlappingpdfs.136380.pdf.task_23_16_17,snowy range formation,Late Cambrian|501.0000|488.3000,t,1,0.996
