id,docid,type,eid1,eid2,entity1,entity2,is_correct,category,expectation
432943,overlappingpdfs.138678.pdf.task,TAXONOMY,TAXON_DOC_overlappingpdfs.138678.pdf.task_84_68_69,TAXON_DOC_overlappingpdfs.138678.pdf.task_84_19_19,ctenoplectrella cockerelli,eomacropidini,,1,0.957
430732,overlappingpdfs.138678.pdf.task,TAXONOMY,TAXON_DOC_overlappingpdfs.138678.pdf.task_84_101_102,TAXON_DOC_overlappingpdfs.138678.pdf.task_84_49_49,melissites trigona,protolithurgus,f,1,0.945
380925,overlappingpdfs.138709.pdf.task,TAXONOMY,TAXON_DOC_overlappingpdfs.138709.pdf.task_2794_11_11,TAXON_DOC_overlappingpdfs.138709.pdf.task_2794_9_9,centetodon,palaeoryctidae,,1,1
437274,overlappingpdfs.138678.pdf.task,TAXONOMY,TAXON_DOC_overlappingpdfs.138678.pdf.task_361_10_10,TAXON_DOC_overlappingpdfs.138678.pdf.task_361_7_7,osmiini,megachilidae,t,1,0.995
421784,overlappingpdfs.138658.pdf.task,TAXONOMY,TAXON_DOC_overlappingpdfs.138658.pdf.task_3781_7_8,TAXON_DOC_overlappingpdfs.138658.pdf.task_3781_13_13,armorigreenops leoi,greenops,,1,0.996
385424,overlappingpdfs.138761.pdf.task,TAXONOMY,TAXON_DOC_overlappingpdfs.138761.pdf.task_7229_37_38,TAXON_DOC_overlappingpdfs.138761.pdf.task_7229_47_47,cathayornis yandica,apsaravis,,1,0.938
445468,overlappingpdfs.138613.pdf.task,TAXONOMY,TAXON_DOC_overlappingpdfs.138613.pdf.task_7286_240_240,TAXON_DOC_overlappingpdfs.138613.pdf.task_7286_400_400,siphlonurus,syntonopteridae,,1,0.956
369432,overlappingpdfs.138384.pdf.task,TAXONOMY,TAXON_DOC_overlappingpdfs.138384.pdf.task_6309_41_41,TAXON_DOC_overlappingpdfs.138384.pdf.task_6309_70_70,limnotherium,phenacodontidae,,1,1
354199,overlappingpdfs.133077.pdf.task,TAXONOMY,TAXON_DOC_overlappingpdfs.133077.pdf.task_1129_59_60,TAXON_DOC_overlappingpdfs.133077.pdf.task_1129_92_92,cyranorhis bergeraci,aetheretmon,f,1,0.937
415756,overlappingpdfs.132321.pdf.task,TAXONOMY,TAXON_DOC_overlappingpdfs.132321.pdf.task_633_0_0,TAXON_DOC_overlappingpdfs.132321.pdf.task_633_2_2,squalodon,eurhinodelphis,f,1,1
402314,overlappingpdfs.136337.pdf.task,TAXONOMY,TAXON_DOC_overlappingpdfs.136337.pdf.task_277_8_8,TAXON_DOC_overlappingpdfs.136337.pdf.task_277_12_12,pseudotoxeuma,toxeumorphoridae,,1,1
372253,overlappingpdfs.138384.pdf.task,TAXONOMY,TAXON_DOC_overlappingpdfs.138384.pdf.task_262_16_16,TAXON_DOC_overlappingpdfs.138384.pdf.task_262_8_8,palaeoryctes,deltatheridiidae,,1,1
381312,overlappingpdfs.136017.pdf.task,TAXONOMY,TAXON_DOC_overlappingpdfs.136017.pdf.task_44_8_9,TAXON_DOC_overlappingpdfs.136017.pdf.task_44_5_5,culcita novaeguineae,ophidiasteridae,,1,1
430030,overlappingpdfs.138678.pdf.task,TAXONOMY,TAXON_DOC_overlappingpdfs.138678.pdf.task_8641_166_166,TAXON_DOC_overlappingpdfs.138678.pdf.task_8641_233_233,electrobombini,halictidae,,1,0.992
407035,overlappingpdfs.138622.pdf.task,TAXONOMY,TAXON_DOC_overlappingpdfs.138622.pdf.task_457_28_28,TAXON_DOC_overlappingpdfs.138622.pdf.task_457_10_10,tomarctus,canoidea,,1,0.996
436585,overlappingpdfs.138388.pdf.task,TAXONOMY,TAXON_DOC_overlappingpdfs.138388.pdf.task_3902_12_12,TAXON_DOC_overlappingpdfs.138388.pdf.task_3902_81_81,ophichthyidae,osteoglossiformes,,1,0.996
509833,overlappingpdfs.132634.pdf.task,TAXONOMY,TAXON_DOC_overlappingpdfs.132634.pdf.task_1586_4_4,TAXON_DOC_overlappingpdfs.132634.pdf.task_1586_3_3,diprotodontinae,diprotodontidae,,1,1
485002,overlappingpdfs.132608.pdf.task,TAXONOMY,TAXON_DOC_overlappingpdfs.132608.pdf.task_88_0_1,TAXON_DOC_overlappingpdfs.132608.pdf.task_88_26_26,crocodilus spenceri,kentisuchus,,1,1
528840,overlappingpdfs.136931.pdf.task,TAXONOMY,TAXON_DOC_overlappingpdfs.136931.pdf.task_581_76_76,TAXON_DOC_overlappingpdfs.136931.pdf.task_581_115_115,cymbularia,natica,,1,0.987
437049,overlappingpdfs.138388.pdf.task,TAXONOMY,TAXON_DOC_overlappingpdfs.138388.pdf.task_3908_114_114,TAXON_DOC_overlappingpdfs.138388.pdf.task_3908_12_12,pseudochromidae,pleuronectoidei,f,1,0.996
473171,overlappingpdfs.138385.pdf.task,TAXONOMY,TAXON_DOC_overlappingpdfs.138385.pdf.task_2526_47_47,TAXON_DOC_overlappingpdfs.138385.pdf.task_2526_62_62,erinaceidae,scandentia,,1,0.937
576974,overlappingpdfs.138665.pdf.task,TAXONOMY,TAXON_DOC_overlappingpdfs.138665.pdf.task_2223_42_42,TAXON_DOC_overlappingpdfs.138665.pdf.task_2223_52_52,paramacellodidae,scincoidea,,1,1
532601,overlappingpdfs.132439.pdf.task,TAXONOMY,TAXON_DOC_overlappingpdfs.132439.pdf.task_520_31_32,TAXON_DOC_overlappingpdfs.132439.pdf.task_520_62_62,rhynchosaurus articeps,fodonyx,,1,0.993
415222,overlappingpdfs.130600.pdf.task,TAXONOMY,TAXON_DOC_overlappingpdfs.130600.pdf.task_274_4_4,TAXON_DOC_overlappingpdfs.130600.pdf.task_274_2_2,elliotsmithia,varanodontinae,,1,1
439975,overlappingpdfs.138388.pdf.task,TAXONOMY,TAXON_DOC_overlappingpdfs.138388.pdf.task_3913_51_51,TAXON_DOC_overlappingpdfs.138388.pdf.task_3913_135_135,sicydiaphiidae,stephanoberyciformes,,1,0.996
382875,overlappingpdfs.138085.pdf.task,TAXONOMY,TAXON_DOC_overlappingpdfs.138085.pdf.task_917_4_4,TAXON_DOC_overlappingpdfs.138085.pdf.task_917_86_86,crossochelys,meiolaniidae,,1,1
570915,overlappingpdfs.132619.pdf.task,TAXONOMY,TAXON_DOC_overlappingpdfs.132619.pdf.task_155_30_31,TAXON_DOC_overlappingpdfs.132619.pdf.task_155_115_115,megatherium americanum,megatheriinae,f,1,1
373747,overlappingpdfs.138334.pdf.task,TAXONOMY,TAXON_DOC_overlappingpdfs.138334.pdf.task_2633_2_2,TAXON_DOC_overlappingpdfs.138334.pdf.task_2633_5_5,anura,reptilia,,1,1
464576,overlappingpdfs.132490.pdf.task,TAXONOMY,TAXON_DOC_overlappingpdfs.132490.pdf.task_493_4_4,TAXON_DOC_overlappingpdfs.132490.pdf.task_493_6_6,ophiceras,shangganites,f,1,1
503755,overlappingpdfs.138572.pdf.task,TAXONOMY,TAXON_DOC_overlappingpdfs.138572.pdf.task_47_78_79,TAXON_DOC_overlappingpdfs.138572.pdf.task_47_74_74,zearchaea magna,aotearoa,,1,0.987
473346,overlappingpdfs.137564.pdf.task,TAXONOMY,TAXON_DOC_overlappingpdfs.137564.pdf.task_860_9_9,TAXON_DOC_overlappingpdfs.137564.pdf.task_860_11_11,rhynchocephalia,diaptosauria,,1,1
375139,overlappingpdfs.138745.pdf.task,TAXONOMY,TAXON_DOC_overlappingpdfs.138745.pdf.task_2864_12_13,TAXON_DOC_overlappingpdfs.138745.pdf.task_2864_6_6,protungulatum donnae,aspanlestes,f,1,0.999
519072,overlappingpdfs.138424.pdf.task,TAXONOMY,TAXON_DOC_overlappingpdfs.138424.pdf.task_1110_37_37,TAXON_DOC_overlappingpdfs.138424.pdf.task_1110_31_31,bathyopsoides,prodinoceratidae,,1,1
399954,overlappingpdfs.133140.pdf.task,TAXONOMY,TAXON_DOC_overlappingpdfs.133140.pdf.task_1304_6_7,TAXON_DOC_overlappingpdfs.133140.pdf.task_1304_11_11,mesophlebotomites hennigi,phlebotomites,,1,0.996
472659,overlappingpdfs.132134.pdf.task,TAXONOMY,TAXON_DOC_overlappingpdfs.132134.pdf.task_293_11_11,TAXON_DOC_overlappingpdfs.132134.pdf.task_293_9_9,procercopis,sinoalidae,f,1,1
