id,docid,type,eid1,eid2,entity1,entity2,is_correct,category,expectation
724514,overlappingpdfs.138613.pdf.task,TAXONOMY,TAXON_DOC_overlappingpdfs.138613.pdf.task_7259_388_388,TAXON_DOC_overlappingpdfs.138613.pdf.task_7259_404_404,araripechrysa,carabidae,,1,0.983
718007,overlappingpdfs.138613.pdf.task,TAXONOMY,TAXON_DOC_overlappingpdfs.138613.pdf.task_7259_436_436,TAXON_DOC_overlappingpdfs.138613.pdf.task_7259_380_380,architettix,apocrita,,1,0.992
717359,overlappingpdfs.138613.pdf.task,TAXONOMY,TAXON_DOC_overlappingpdfs.138613.pdf.task_7259_394_394,TAXON_DOC_overlappingpdfs.138613.pdf.task_7259_288_288,araripegryllus,bombyliidae,,1,0.96
714487,overlappingpdfs.138613.pdf.task,TAXONOMY,TAXON_DOC_overlappingpdfs.138613.pdf.task_7259_183_183,TAXON_DOC_overlappingpdfs.138613.pdf.task_7259_369_369,ameletus,calliphoridae,,1,0.966
716171,overlappingpdfs.138613.pdf.task,TAXONOMY,TAXON_DOC_overlappingpdfs.138613.pdf.task_7260_9_9,TAXON_DOC_overlappingpdfs.138613.pdf.task_7260_79_79,cercopidium,chrysomelidae,,1,0.924
722244,overlappingpdfs.138613.pdf.task,TAXONOMY,TAXON_DOC_overlappingpdfs.138613.pdf.task_7259_394_394,TAXON_DOC_overlappingpdfs.138613.pdf.task_7259_195_195,araripegryllus,amphipterygidae,,1,0.981
722040,overlappingpdfs.138613.pdf.task,TAXONOMY,TAXON_DOC_overlappingpdfs.138613.pdf.task_7260_236_236,TAXON_DOC_overlappingpdfs.138613.pdf.task_7260_3_3,cretabythus,cecidomyiidae,,1,0.918
714788,overlappingpdfs.138613.pdf.task,TAXONOMY,TAXON_DOC_overlappingpdfs.138613.pdf.task_7259_423_423,TAXON_DOC_overlappingpdfs.138613.pdf.task_7259_228_228,archisphex,bibioninae,,1,0.989
769782,overlappingpdfs.138632.pdf.task,TAXONOMY,TAXON_DOC_overlappingpdfs.138632.pdf.task_3659_84_85,TAXON_DOC_overlappingpdfs.138632.pdf.task_3659_70_70,lemur catta,rodentia,,1,0.94
770195,overlappingpdfs.138632.pdf.task,TAXONOMY,TAXON_DOC_overlappingpdfs.138632.pdf.task_3659_62_62,TAXON_DOC_overlappingpdfs.138632.pdf.task_3659_145_145,pholidota,condylarthra,,1,0.943
