creek ash	1852
limestone formation	1776
sheep creek formation	1340
john day formation	1318
formation formation	1156
judith river formation	1138
burgess shale	1088
hamilton group	1060
day formation	1056
crato formation	912
snake creek formation	912
bridger formation	910
olcott formation	894
harrison formation	862
river formation	836
doushantuo formation	818
santana formation	751
haystack valley member	710
type member	694
valley member	682
chinle formation	666
london clay	658
rosebud formations	624
great oolite	612
rose creek member	594
tinton formation	582
morrison formation	576
emigrant formation	554
lance formation	548
khuff formation	540
oxford clay	540
east sand	528
hornerstown formation	512
kanosh shale	476
onondaga limestone formation	476
wessex formation	466
community group	464
red sandstone	464
moenkopi formation	462
sharps formation	458
yixian formation	452
djadokhta formation	448
kimberly member	439
solsville member	438
waldron shale	436
johnson canyon member	434
west sand	424
xiaowa formation	422
chinle group	420
pondaung sandstones	420
