dinosauria	theropoda	149
drosophilidae	diptera	138
sauropterygia	reptilia	114
dinosauria	sauropoda	110
asteropyginae	trilobita	98
crinoidea	echinodermata	91
halictidae	hymenoptera	88
apoidea	hymenoptera	70
asteroidea	echinodermata	68
araneae	arachnida	62
solenodon paradoxus	setifer	60
brachyura	decapoda	53
squamata	reptilia	53
apidae	hymenoptera	52
brachycera	diptera	48
plesiorycteropus	orycteropodidae	48
camerata	crinoidea	44
therapsida	reptilia	43
eremotherium	megatheriinae	40
apinae	apidae	36
solenodon paradoxus	elephantulus	36
dicynodontia	therapsida	33
goniasteridae	asteroidea	33
diplodocoidea	sauropoda	32
palaeontinidae	hemiptera	32
simia	cercopithecus	32
megatherium americanum	eremotherium	30
mesosuchia	crocodylia	29
batrachia	reptilia	28
crocodyliformes	archosauria	27
megatheriidae	xenarthra	26
plesiosauroidea	reptilia	26
rhagionidae	diptera	26
tingidae	heteroptera	26
araneae	arthropoda	25
bellerophontacea	gastropoda	24
proetus	crassiproetus	24
ziphiidae	cetacea	24
flexibilia	crinoidea	23
megatherium americanum	megatheriinae	23
ophiuroidea	echinodermata	23
adamisaurus magnidentatus	pyramicephalosaurus	22
bombyliidae	diptera	22
cicadomorpha	hemiptera	22
corallinaceae	rhodophyta	22
paleopsychoda	psychodinae	22
peltopleuridae	peltopleuriformes	22
pholidota	xenarthra	22
cometograptus	plectograptinae	21
dimetrodon	sphenacodontidae	21
