id,docid,type,eid1,eid2,entity1,entity2,is_correct
1529758,overlappingpdfs.131250.pdf.task,FORMATION,ROCK_DOC_overlappingpdfs.131250.pdf.task_143_1_1,TIME_DOC_overlappingpdfs.131250.pdf.task_143_33_33,tollhouse mudstone,Asbian|339.40000|336.00000,f
1503780,overlappingpdfs.138407.pdf.task,FORMATION,ROCK_DOC_overlappingpdfs.138407.pdf.task_1094_10_11,TIME_DOC_overlappingpdfs.138407.pdf.task_1094_5_5,fort union formation,Torrejonian|63.30000|61.70000,f
1491685,overlappingpdfs.132101.pdf.task,FORMATION,ROCK_DOC_overlappingpdfs.132101.pdf.task_19_49_50,TIME_DOC_overlappingpdfs.132101.pdf.task_19_48_48,shuijingtuo formation,Cambrian|541.00000|485.40000,f
1528420,overlappingpdfs.132658.pdf.task,FORMATION,TAXON_DOC_overlappingpdfs.132658.pdf.task_15_3_3,ROCK_DOC_overlappingpdfs.132658.pdf.task_15_11_12,sphenodontia,caturrita formation,f
1515952,overlappingpdfs.132570.pdf.task,FORMATION,ROCK_DOC_overlappingpdfs.132570.pdf.task_828_5_5,TIME_DOC_overlappingpdfs.132570.pdf.task_828_9_9,cloverly formation,Cretaceous|145.00000|66.00000,f
1527679,overlappingpdfs.132745.pdf.task,FORMATION,ROCK_DOC_overlappingpdfs.132745.pdf.task_112_31_32,TIME_DOC_overlappingpdfs.132745.pdf.task_112_29_30,sudair shale formation,Early Triassic|251.0000|245.0000,f
1518575,overlappingpdfs.138462.pdf.task,FORMATION,TAXON_DOC_overlappingpdfs.138462.pdf.task_2558_21_21,ROCK_DOC_overlappingpdfs.138462.pdf.task_2558_6_6,enaliarctos,hill sand,f
1517483,overlappingpdfs.132380.pdf.task,FORMATION,ROCK_DOC_overlappingpdfs.132380.pdf.task_541_22_24,TIME_DOC_overlappingpdfs.132380.pdf.task_541_26_26,virgin hills formation,Frasnian|382.70000|372.20000,f
1455099,overlappingpdfs.132009.pdf.task,FORMATION,ROCK_DOC_overlappingpdfs.132009.pdf.task_207_31_31,TIME_DOC_overlappingpdfs.132009.pdf.task_207_13_13,vvenlock shale,Leintwardine|421.30000|419.20000,f
1469399,overlappingpdfs.132921.pdf.task,FORMATION,ROCK_DOC_overlappingpdfs.132921.pdf.task_797_8_8,TIME_DOC_overlappingpdfs.132921.pdf.task_797_12_13,great oolite,Middle Jurassic|175.6000|161.2000,f
1529125,overlappingpdfs.135361.pdf.task,FORMATION,ROCK_DOC_overlappingpdfs.135361.pdf.task_78_9_10,TIME_DOC_overlappingpdfs.135361.pdf.task_78_1_1,iil formation,Permian|298.90000|252.17000,f
1465841,overlappingpdfs.132215.pdf.task,FORMATION,ROCK_DOC_overlappingpdfs.132215.pdf.task_11_11_11,TIME_DOC_overlappingpdfs.132215.pdf.task_11_19_19,peterborough member,Oxfordian|163.50000|157.30000,f
1485622,overlappingpdfs.138658.pdf.task,FORMATION,ROCK_DOC_overlappingpdfs.138658.pdf.task_3203_25_25,TIME_DOC_overlappingpdfs.138658.pdf.task_3203_19_19,hamilton group,Tioughniogan|391.8000|385.3000,f
1457174,overlappingpdfs.136141.pdf.task,FORMATION,ROCK_DOC_overlappingpdfs.136141.pdf.task_349_26_27,TIME_DOC_overlappingpdfs.136141.pdf.task_349_2_3,lorraine group,Late Ordovician|460.9000|443.7000,f
1478930,overlappingpdfs.133316.pdf.task,FORMATION,ROCK_DOC_overlappingpdfs.133316.pdf.task_167_8_9,TIME_DOC_overlappingpdfs.133316.pdf.task_167_15_15,midhnab member,Changhsingian|254.17000|252.17000,f
1500741,overlappingpdfs.138519.pdf.task,FORMATION,TAXON_DOC_overlappingpdfs.138519.pdf.task_5160_32_32,ROCK_DOC_overlappingpdfs.138519.pdf.task_5160_24_24,aphelops,type member,f
1492841,overlappingpdfs.131227.pdf.task,FORMATION,TAXON_DOC_overlappingpdfs.131227.pdf.task_582_12_12,ROCK_DOC_overlappingpdfs.131227.pdf.task_582_12_13,striispirifer,striispirifer community group,f
1513949,overlappingpdfs.132504.pdf.task,FORMATION,ROCK_DOC_overlappingpdfs.132504.pdf.task_159_20_20,TIME_DOC_overlappingpdfs.132504.pdf.task_159_1_1,shaximiao formation,Jurassic|201.30000|145.00000,f
1496959,overlappingpdfs.132230.pdf.task,FORMATION,TAXON_DOC_overlappingpdfs.132230.pdf.task_67_51_51,ROCK_DOC_overlappingpdfs.132230.pdf.task_67_1_2,hemiptera,crato formation,f
1452330,overlappingpdfs.138365.pdf.task,FORMATION,TAXON_DOC_overlappingpdfs.138365.pdf.task_935_10_10,ROCK_DOC_overlappingpdfs.138365.pdf.task_935_7_7,forma,harrison formation,f
1463974,overlappingpdfs.138465.pdf.task,FORMATION,ROCK_DOC_overlappingpdfs.138465.pdf.task_163_46_46,TIME_DOC_overlappingpdfs.138465.pdf.task_163_24_24,walnut formation,Permian|298.90000|252.17000,f
1464176,overlappingpdfs.138465.pdf.task,FORMATION,ROCK_DOC_overlappingpdfs.138465.pdf.task_2453_0_2,TIME_DOC_overlappingpdfs.138465.pdf.task_2453_4_4,bone spring limestone formation,Leonardian|280.000|270.600,f
1452563,overlappingpdfs.132547.pdf.task,FORMATION,ROCK_DOC_overlappingpdfs.132547.pdf.task_443_44_44,TIME_DOC_overlappingpdfs.132547.pdf.task_443_49_49,nodular member,Elton|422.90000|421.30000,f
1536450,overlappingpdfs.136471.pdf.task,FORMATION,ROCK_DOC_overlappingpdfs.136471.pdf.task_864_13_13,TIME_DOC_overlappingpdfs.136471.pdf.task_864_12_13,river group,Black River|460.900|457.500,f
1519174,overlappingpdfs.135858.pdf.task,FORMATION,ROCK_DOC_overlappingpdfs.135858.pdf.task_382_4_6,TIME_DOC_overlappingpdfs.135858.pdf.task_382_24_24,monastery creek phosphorite formation,Templetonian|513.00000|507.00000,f
1487858,overlappingpdfs.130651.pdf.task,FORMATION,ROCK_DOC_overlappingpdfs.130651.pdf.task_273_4_4,TIME_DOC_overlappingpdfs.130651.pdf.task_273_7_7,doushantuo formation,Chadian|345.30000|345.00000,f
1466969,overlappingpdfs.133017.pdf.task,FORMATION,TAXON_DOC_overlappingpdfs.133017.pdf.task_253_6_6,ROCK_DOC_overlappingpdfs.133017.pdf.task_253_10_10,chilopoda,crato formations,f
1527517,overlappingpdfs.132226.pdf.task,FORMATION,ROCK_DOC_overlappingpdfs.132226.pdf.task_33_16_18,TIME_DOC_overlappingpdfs.132226.pdf.task_33_5_5,laksarska nova ves formation,Burdigalian|20.44000|15.97000,f
1518513,overlappingpdfs.132648.pdf.task,FORMATION,TAXON_DOC_overlappingpdfs.132648.pdf.task_564_4_4,ROCK_DOC_overlappingpdfs.132648.pdf.task_564_13_13,agriopleura,shuaiba formation,f
1455543,overlappingpdfs.1390.pdf.task,FORMATION,ROCK_DOC_overlappingpdfs.1390.pdf.task_27_16_17,TIME_DOC_overlappingpdfs.1390.pdf.task_27_19_19,tlayua formation,Albian|113.00000|100.50000,f
1493214,overlappingpdfs.138170.pdf.task,FORMATION,TAXON_DOC_overlappingpdfs.138170.pdf.task_661_13_13,ROCK_DOC_overlappingpdfs.138170.pdf.task_661_18_18,palaeospheniscus,deseado formation,f
1520963,overlappingpdfs.132593.pdf.task,FORMATION,TAXON_DOC_overlappingpdfs.132593.pdf.task_132_0_0,ROCK_DOC_overlappingpdfs.132593.pdf.task_132_0_0,angiospermae,angiospermae group,f
1487875,overlappingpdfs.132367.pdf.task,FORMATION,ROCK_DOC_overlappingpdfs.132367.pdf.task_1068_26_27,TIME_DOC_overlappingpdfs.132367.pdf.task_1068_7_7,episkopi formation,Roadian|272.30000|268.80000,f
1471173,overlappingpdfs.139.pdf.task,FORMATION,ROCK_DOC_overlappingpdfs.139.pdf.task_415_16_16,TIME_DOC_overlappingpdfs.139.pdf.task_415_10_10,oldman formation,Judithian|83.50000|70.60000,f
1458309,overlappingpdfs.132551.pdf.task,FORMATION,TAXON_DOC_overlappingpdfs.132551.pdf.task_990_8_8,ROCK_DOC_overlappingpdfs.132551.pdf.task_990_19_20,mammalia,pisco formation,f
1517471,overlappingpdfs.132630.pdf.task,FORMATION,ROCK_DOC_overlappingpdfs.132630.pdf.task_921_13_13,TIME_DOC_overlappingpdfs.132630.pdf.task_921_6_7,kuwajima formation,Early Cretaceous|145.5000|99.6000,f
1460273,overlappingpdfs.132551.pdf.task,FORMATION,ROCK_DOC_overlappingpdfs.132551.pdf.task_358_34_34,TIME_DOC_overlappingpdfs.132551.pdf.task_358_41_42,honda formation,Middle Miocene|15.9700|11.6080,f
1514644,overlappingpdfs.132522.pdf.task,FORMATION,ROCK_DOC_overlappingpdfs.132522.pdf.task_1312_3_3,TIME_DOC_overlappingpdfs.132522.pdf.task_1312_9_10,shihtzupu formation,Middle Ordovician|471.8000|460.9000,f
1519711,overlappingpdfs.132756.pdf.task,FORMATION,ROCK_DOC_overlappingpdfs.132756.pdf.task_32_12_12,TIME_DOC_overlappingpdfs.132756.pdf.task_32_18_19,calvert formation,Middle Miocene|15.9700|11.6080,f
1517678,overlappingpdfs.136577.pdf.task,FORMATION,ROCK_DOC_overlappingpdfs.136577.pdf.task_262_20_20,TIME_DOC_overlappingpdfs.136577.pdf.task_262_12_12,dundee formation,Ditton|416.00000|412.30000,f
1467121,overlappingpdfs.130827.pdf.task,FORMATION,TAXON_DOC_overlappingpdfs.130827.pdf.task_294_1_1,ROCK_DOC_overlappingpdfs.130827.pdf.task_294_5_8,pterotheca,wether law linn formation,f
1498624,overlappingpdfs.132716.pdf.task,FORMATION,ROCK_DOC_overlappingpdfs.132716.pdf.task_125_13_14,TIME_DOC_overlappingpdfs.132716.pdf.task_125_3_4,sinbad limestone member,Early Triassic|251.0000|245.0000,f
1454303,overlappingpdfs.132980.pdf.task,FORMATION,TAXON_DOC_overlappingpdfs.132980.pdf.task_21_49_49,ROCK_DOC_overlappingpdfs.132980.pdf.task_21_45_46,argentina,los colorados formation,f
1492782,overlappingpdfs.136807.pdf.task,FORMATION,ROCK_DOC_overlappingpdfs.136807.pdf.task_73_1_2,TIME_DOC_overlappingpdfs.136807.pdf.task_73_7_7,geneseo shale,Genesee|388.10000|376.10000,f
1464212,overlappingpdfs.135664.pdf.task,FORMATION,ROCK_DOC_overlappingpdfs.135664.pdf.task_314_13_13,TIME_DOC_overlappingpdfs.135664.pdf.task_314_12_12,meishucun formation,Cambrian|541.00000|485.40000,f
1503317,overlappingpdfs.138519.pdf.task,FORMATION,ROCK_DOC_overlappingpdfs.138519.pdf.task_5443_11_12,TIME_DOC_overlappingpdfs.138519.pdf.task_5443_19_19,sheep creek formation,Hemingfordian|20.43000|15.97000,f
1517411,overlappingpdfs.130801.pdf.task,FORMATION,ROCK_DOC_overlappingpdfs.130801.pdf.task_35_8_11,TIME_DOC_overlappingpdfs.130801.pdf.task_35_22_23,late iurassic sundance formation,Late Jurassic|161.2000|145.5000,f
1504180,overlappingpdfs.138519.pdf.task,FORMATION,ROCK_DOC_overlappingpdfs.138519.pdf.task_864_9_9,TIME_DOC_overlappingpdfs.138519.pdf.task_864_19_19,creek ash,Barstovian|15.97000|13.60000,f
1470269,overlappingpdfs.132470.pdf.task,FORMATION,TAXON_DOC_overlappingpdfs.132470.pdf.task_464_47_47,ROCK_DOC_overlappingpdfs.132470.pdf.task_464_40_42,arizona,owl rock formation,f
1499697,overlappingpdfs.138393.pdf.task,FORMATION,TAXON_DOC_overlappingpdfs.138393.pdf.task_316_31_31,ROCK_DOC_overlappingpdfs.138393.pdf.task_316_9_10,arizona,santa rosa sandstone,f
1521740,overlappingpdfs.136931.pdf.task,FORMATION,ROCK_DOC_overlappingpdfs.136931.pdf.task_439_28_28,TIME_DOC_overlappingpdfs.136931.pdf.task_439_27_27,limestone formation,Wenlock|433.40000|427.40000,f
1479511,overlappingpdfs.132759.pdf.task,FORMATION,ROCK_DOC_overlappingpdfs.132759.pdf.task_795_4_4,TIME_DOC_overlappingpdfs.132759.pdf.task_795_0_0,bighorn dolomite,Ordovician|485.40000|443.40000,f
1496984,overlappingpdfs.132230.pdf.task,FORMATION,TAXON_DOC_overlappingpdfs.132230.pdf.task_449_43_43,ROCK_DOC_overlappingpdfs.132230.pdf.task_449_22_24,mesoraphidia,purbeck limestone group,f
1457116,overlappingpdfs.130330.pdf.task,FORMATION,ROCK_DOC_overlappingpdfs.130330.pdf.task_109_6_7,TIME_DOC_overlappingpdfs.130330.pdf.task_109_13_13,gosau group,Eocene|56.00000|33.90000,f
1534271,overlappingpdfs.1357.pdf.task,FORMATION,ROCK_DOC_overlappingpdfs.1357.pdf.task_214_0_0,TIME_DOC_overlappingpdfs.1357.pdf.task_214_13_13,mazateron formation,MP15|48.60000|40.40000,f
1468421,overlappingpdfs.132987.pdf.task,FORMATION,TAXON_DOC_overlappingpdfs.132987.pdf.task_189_19_19,ROCK_DOC_overlappingpdfs.132987.pdf.task_189_5_6,hedstroemia,kalstad limestone formation,f
1479306,overlappingpdfs.138573.pdf.task,FORMATION,ROCK_DOC_overlappingpdfs.138573.pdf.task_4860_31_31,TIME_DOC_overlappingpdfs.138573.pdf.task_4860_45_45,florida sand,Blancan|4.90000|1.80000,f
1498946,overlappingpdfs.136334.pdf.task,FORMATION,ROCK_DOC_overlappingpdfs.136334.pdf.task_56_6_7,TIME_DOC_overlappingpdfs.136334.pdf.task_56_4_5,craighead limestone formation,Late Ordovician|460.9000|443.7000,f
1456964,overlappingpdfs.138679.pdf.task,FORMATION,ROCK_DOC_overlappingpdfs.138679.pdf.task_1020_21_22,TIME_DOC_overlappingpdfs.138679.pdf.task_1020_16_16,carlile shale,Turonian|93.90000|89.80000,f
1488340,overlappingpdfs.138083.pdf.task,FORMATION,TAXON_DOC_overlappingpdfs.138083.pdf.task_857_4_5,ROCK_DOC_overlappingpdfs.138083.pdf.task_857_7_7,paramynodon birmanicus,pondaung sandstones,f
1511626,overlappingpdfs.130816.pdf.task,FORMATION,ROCK_DOC_overlappingpdfs.130816.pdf.task_50_20_20,TIME_DOC_overlappingpdfs.130816.pdf.task_50_11_11,waynesville formation,Richmondian|449.50000|443.70000,f
1524372,overlappingpdfs.132609.pdf.task,FORMATION,ROCK_DOC_overlappingpdfs.132609.pdf.task_447_11_12,TIME_DOC_overlappingpdfs.132609.pdf.task_447_9_10,iudith river group,Late Cretaceous|99.6000|65.5000,f
1526151,overlappingpdfs.133063.pdf.task,FORMATION,TAXON_DOC_overlappingpdfs.133063.pdf.task_1602_18_19,ROCK_DOC_overlappingpdfs.133063.pdf.task_1602_28_28,tretaspis ceryx,raheen formation,f
1528189,overlappingpdfs.13405.pdf.task,FORMATION,TAXON_DOC_overlappingpdfs.13405.pdf.task_1132_21_21,ROCK_DOC_overlappingpdfs.13405.pdf.task_1132_39_39,belemnites,oxford clay,f
1496023,overlappingpdfs.132206.pdf.task,FORMATION,ROCK_DOC_overlappingpdfs.132206.pdf.task_822_1_2,TIME_DOC_overlappingpdfs.132206.pdf.task_822_11_11,grey shales member,Toarcian|182.70000|174.10000,f
1523430,overlappingpdfs.132581.pdf.task,FORMATION,ROCK_DOC_overlappingpdfs.132581.pdf.task_224_11_11,TIME_DOC_overlappingpdfs.132581.pdf.task_224_25_25,limestone formation,Wenlock|433.40000|427.40000,f
1533528,overlappingpdfs.138624.pdf.task,FORMATION,ROCK_DOC_overlappingpdfs.138624.pdf.task_4453_0_2,TIME_DOC_overlappingpdfs.138624.pdf.task_4453_6_6,ferron point formation,Givetian|387.70000|382.70000,f
1533202,overlappingpdfs.132684.pdf.task,FORMATION,ROCK_DOC_overlappingpdfs.132684.pdf.task_84_13_14,TIME_DOC_overlappingpdfs.132684.pdf.task_84_23_23,leidapo member,Anisian|247.20000|242.00000,f
1525048,overlappingpdfs.132657.pdf.task,FORMATION,TAXON_DOC_overlappingpdfs.132657.pdf.task_17_34_34,ROCK_DOC_overlappingpdfs.132657.pdf.task_17_10_10,mesolyda,sogul formation,f
1509597,overlappingpdfs.132862.pdf.task,FORMATION,ROCK_DOC_overlappingpdfs.132862.pdf.task_1397_1_1,TIME_DOC_overlappingpdfs.132862.pdf.task_1397_0_0,formation formation,Pilton|376.10000|353.80000,f
1486538,overlappingpdfs.138658.pdf.task,FORMATION,ROCK_DOC_overlappingpdfs.138658.pdf.task_1702_26_27,TIME_DOC_overlappingpdfs.138658.pdf.task_1702_29_30,hamilton group,Middle Devonian|397.5000|385.3000,f
1505854,overlappingpdfs.132487.pdf.task,FORMATION,ROCK_DOC_overlappingpdfs.132487.pdf.task_67_0_2,TIME_DOC_overlappingpdfs.132487.pdf.task_67_4_4,punta negra formation,Devonian|419.20000|358.90000,f
1455482,overlappingpdfs.138450.pdf.task,FORMATION,ROCK_DOC_overlappingpdfs.138450.pdf.task_414_12_13,TIME_DOC_overlappingpdfs.138450.pdf.task_414_10_11,hell creek formation,Late Cretaceous|99.6000|65.5000,f
1451345,overlappingpdfs.132385.pdf.task,FORMATION,TAXON_DOC_overlappingpdfs.132385.pdf.task_366_47_47,ROCK_DOC_overlappingpdfs.132385.pdf.task_366_9_9,fimbria,claremont formation,f
1514367,overlappingpdfs.132302.pdf.task,FORMATION,ROCK_DOC_overlappingpdfs.132302.pdf.task_182_8_8,TIME_DOC_overlappingpdfs.132302.pdf.task_182_20_20,candeleros formation,Coniacian|89.80000|86.30000,f
1495041,overlappingpdfs.132401.pdf.task,FORMATION,ROCK_DOC_overlappingpdfs.132401.pdf.task_262_41_42,TIME_DOC_overlappingpdfs.132401.pdf.task_262_9_9,oxford clay,Kimmeridgian|157.30000|152.10000,f
