id,docid,type,eid1,eid2,entity1,entity2,is_correct
1537270,overlappingpdfs.132458.pdf.task,FORMATION,TAXON_DOC_overlappingpdfs.132458.pdf.task_801_6_6,ROCK_DOC_overlappingpdfs.132458.pdf.task_801_12_12,mammalia,cloverly formation,t
1483382,overlappingpdfs.133475.pdf.task,FORMATION,TAXON_DOC_overlappingpdfs.133475.pdf.task_206_28_28,ROCK_DOC_overlappingpdfs.133475.pdf.task_206_8_9,eoenantiornis,yixian formation,t
1501250,overlappingpdfs.138393.pdf.task,FORMATION,TAXON_DOC_overlappingpdfs.138393.pdf.task_64_42_42,ROCK_DOC_overlappingpdfs.138393.pdf.task_64_48_48,ceratodus,dockum group,t
1469856,overlappingpdfs.132470.pdf.task,FORMATION,TAXON_DOC_overlappingpdfs.132470.pdf.task_725_15_15,ROCK_DOC_overlappingpdfs.132470.pdf.task_725_3_4,coelophysis,chinle formation,t
1528458,overlappingpdfs.132658.pdf.task,FORMATION,TAXON_DOC_overlappingpdfs.132658.pdf.task_277_28_28,ROCK_DOC_overlappingpdfs.132658.pdf.task_277_9_9,titanosauridae,allen formation,t
1501051,overlappingpdfs.138393.pdf.task,FORMATION,TAXON_DOC_overlappingpdfs.138393.pdf.task_1299_34_34,ROCK_DOC_overlappingpdfs.138393.pdf.task_1299_27_27,chinlea,dockum group,t
1529261,overlappingpdfs.132202.pdf.task,FORMATION,TAXON_DOC_overlappingpdfs.132202.pdf.task_38_18_18,ROCK_DOC_overlappingpdfs.132202.pdf.task_38_40_41,calosargus,karabastau formation,t
1468773,overlappingpdfs.132965.pdf.task,FORMATION,TAXON_DOC_overlappingpdfs.132965.pdf.task_289_1_1,ROCK_DOC_overlappingpdfs.132965.pdf.task_289_15_15,chiayusaurus,xinminbao group,t
1510299,overlappingpdfs.132708.pdf.task,FORMATION,TAXON_DOC_overlappingpdfs.132708.pdf.task_48_52_52,ROCK_DOC_overlappingpdfs.132708.pdf.task_48_39_39,gallimimus,nemegt formation,t
1458634,overlappingpdfs.132003.pdf.task,FORMATION,TAXON_DOC_overlappingpdfs.132003.pdf.task_24_28_28,ROCK_DOC_overlappingpdfs.132003.pdf.task_24_10_12,hillophyllum,cliefden caves limestone formation,t
1533025,overlappingpdfs.132.pdf.task,FORMATION,TAXON_DOC_overlappingpdfs.132.pdf.task_538_20_20,ROCK_DOC_overlappingpdfs.132.pdf.task_538_8_8,baryonyx,enciso group,t
1462000,overlappingpdfs.135551.pdf.task,FORMATION,TAXON_DOC_overlappingpdfs.135551.pdf.task_355_8_8,ROCK_DOC_overlappingpdfs.135551.pdf.task_355_13_13,siphonia,quadersandstein member,t
1486664,overlappingpdfs.132666.pdf.task,FORMATION,TAXON_DOC_overlappingpdfs.132666.pdf.task_10_13_13,ROCK_DOC_overlappingpdfs.132666.pdf.task_10_29_30,trilophosaurus,chinle group,t
1518712,overlappingpdfs.132473.pdf.task,FORMATION,TAXON_DOC_overlappingpdfs.132473.pdf.task_408_10_11,ROCK_DOC_overlappingpdfs.132473.pdf.task_408_39_40,maxakalisaurus topai,bauru group,t
1493283,overlappingpdfs.132675.pdf.task,FORMATION,TAXON_DOC_overlappingpdfs.132675.pdf.task_432_3_3,ROCK_DOC_overlappingpdfs.132675.pdf.task_432_12_12,sauropoda,bauru group,t
1499876,overlappingpdfs.138519.pdf.task,FORMATION,TAXON_DOC_overlappingpdfs.138519.pdf.task_2293_53_54,ROCK_DOC_overlappingpdfs.138519.pdf.task_2293_35_36,ustatochoerus major,ash hollow formation,t
1477438,overlappingpdfs.135259.pdf.task,FORMATION,TAXON_DOC_overlappingpdfs.135259.pdf.task_455_16_17,ROCK_DOC_overlappingpdfs.135259.pdf.task_455_28_29,dinochelys whitei,morrison formation,t
