id,docid,type,eid1,eid2,entity1,entity2,is_correct
591158,overlappingpdfs.138707.pdf.task,FORMATIONINTERVAL,ROCK_DOC_overlappingpdfs.138707.pdf.task_2295_32_33,TIME_DOC_overlappingpdfs.138707.pdf.task_2295_6_6,john day formation,Leonard|290.10000|268.00000,f
618962,overlappingpdfs.138624.pdf.task,FORMATIONINTERVAL,ROCK_DOC_overlappingpdfs.138624.pdf.task_2944_33_33,TIME_DOC_overlappingpdfs.138624.pdf.task_2944_13_13,onondaga formation,Emsian|407.60000|393.30000,f
614529,overlappingpdfs.132304.pdf.task,FORMATIONINTERVAL,ROCK_DOC_overlappingpdfs.132304.pdf.task_66_12_12,TIME_DOC_overlappingpdfs.132304.pdf.task_66_22_22,karabastau formation,Karatau|1050.00000|635.00000,f
604076,overlappingpdfs.138519.pdf.task,FORMATIONINTERVAL,ROCK_DOC_overlappingpdfs.138519.pdf.task_5473_15_15,TIME_DOC_overlappingpdfs.138519.pdf.task_5473_2_2,johnson member,Hemphillian|10.30000|4.90000,f
583253,overlappingpdfs.138449.pdf.task,FORMATIONINTERVAL,ROCK_DOC_overlappingpdfs.138449.pdf.task_3461_16_16,TIME_DOC_overlappingpdfs.138449.pdf.task_3461_0_0,bearpaw shale,Paleocene|66.00000|56.00000,f
591498,overlappingpdfs.130556.pdf.task,FORMATIONINTERVAL,ROCK_DOC_overlappingpdfs.130556.pdf.task_325_5_5,TIME_DOC_overlappingpdfs.130556.pdf.task_325_1_1,moenkopi formation,Buntsandstein|265.00000|252.30000,f
610912,overlappingpdfs.138012.pdf.task,FORMATIONINTERVAL,ROCK_DOC_overlappingpdfs.138012.pdf.task_80_25_26,TIME_DOC_overlappingpdfs.138012.pdf.task_80_20_20,red beds formation,Pennsylvanian|323.20000|298.90000,f
602875,overlappingpdfs.138519.pdf.task,FORMATIONINTERVAL,ROCK_DOC_overlappingpdfs.138519.pdf.task_698_46_48,TIME_DOC_overlappingpdfs.138519.pdf.task_698_52_53,sheep creek formation,Early Pliocene|5.3320|3.6000,f
612511,overlappingpdfs.136931.pdf.task,FORMATIONINTERVAL,ROCK_DOC_overlappingpdfs.136931.pdf.task_44_13_13,TIME_DOC_overlappingpdfs.136931.pdf.task_44_12_12,limestone formation,Wenlock|433.40000|427.40000,f
580098,overlappingpdfs.138450.pdf.task,FORMATIONINTERVAL,ROCK_DOC_overlappingpdfs.138450.pdf.task_1689_9_10,TIME_DOC_overlappingpdfs.138450.pdf.task_1689_31_32,nacimiento formation,Late Cretaceous|99.6000|65.5000,f
600857,overlappingpdfs.135922.pdf.task,FORMATIONINTERVAL,ROCK_DOC_overlappingpdfs.135922.pdf.task_45_1_1,TIME_DOC_overlappingpdfs.135922.pdf.task_45_8_9,kanosh shale,Late Cambrian|501.0000|488.3000,f
582804,overlappingpdfs.135446.pdf.task,FORMATIONINTERVAL,ROCK_DOC_overlappingpdfs.135446.pdf.task_293_11_12,TIME_DOC_overlappingpdfs.135446.pdf.task_293_15_15,magdalena formation,Mississippian|358.90000|323.20000,f
603067,overlappingpdfs.138519.pdf.task,FORMATIONINTERVAL,ROCK_DOC_overlappingpdfs.138519.pdf.task_5424_5_6,TIME_DOC_overlappingpdfs.138519.pdf.task_5424_4_4,sheep creek formation,Hemingfordian|20.43000|15.97000,f
582651,overlappingpdfs.138449.pdf.task,FORMATIONINTERVAL,ROCK_DOC_overlappingpdfs.138449.pdf.task_2703_8_8,TIME_DOC_overlappingpdfs.138449.pdf.task_2703_30_30,lance formation,Campanian|83.60000|72.10000,f
614121,overlappingpdfs.135478.pdf.task,FORMATIONINTERVAL,ROCK_DOC_overlappingpdfs.135478.pdf.task_241_3_3,TIME_DOC_overlappingpdfs.135478.pdf.task_241_1_1,moenkopi formation,Buntsandstein|265.00000|252.30000,f
608824,overlappingpdfs.132522.pdf.task,FORMATIONINTERVAL,ROCK_DOC_overlappingpdfs.132522.pdf.task_1385_2_3,TIME_DOC_overlappingpdfs.132522.pdf.task_1385_14_14,selkirk member,Maysvillian|452.00000|449.50000,f
591490,overlappingpdfs.132925.pdf.task,FORMATIONINTERVAL,ROCK_DOC_overlappingpdfs.132925.pdf.task_342_38_38,TIME_DOC_overlappingpdfs.132925.pdf.task_342_40_40,limestone formation,Sheinwoodian|433.40000|430.50000,f
