id,docid,type,eid1,eid2,entity1,entity2,is_correct
586154,overlappingpdfs.132736.pdf.task,FORMATIONINTERVAL,ROCK_DOC_overlappingpdfs.132736.pdf.task_90_6_7,TIME_DOC_overlappingpdfs.132736.pdf.task_90_22_22,yurtus formation,Cambrian|541.00000|485.40000,t
592015,overlappingpdfs.132990.pdf.task,FORMATIONINTERVAL,ROCK_DOC_overlappingpdfs.132990.pdf.task_1511_5_7,TIME_DOC_overlappingpdfs.132990.pdf.task_1511_2_4_PART_1,roberts mountains formation,Devonian|419.20000|358.90000,t
581902,overlappingpdfs.136141.pdf.task,FORMATIONINTERVAL,ROCK_DOC_overlappingpdfs.136141.pdf.task_450_13_14,TIME_DOC_overlappingpdfs.136141.pdf.task_450_43_43,ellis bay formation,Hirnantian|445.20000|443.40000,t
604578,overlappingpdfs.138.pdf.task,FORMATIONINTERVAL,ROCK_DOC_overlappingpdfs.138.pdf.task_728_7_8,TIME_DOC_overlappingpdfs.138.pdf.task_728_10_10,bearpaw formation,Campanian|83.60000|72.10000,t
609593,overlappingpdfs.1372.pdf.task,FORMATIONINTERVAL,ROCK_DOC_overlappingpdfs.1372.pdf.task_726_21_21,TIME_DOC_overlappingpdfs.1372.pdf.task_726_39_39,bearpaw formation,Cretaceous|145.00000|66.00000,t
615143,overlappingpdfs.135414.pdf.task,FORMATIONINTERVAL,ROCK_DOC_overlappingpdfs.135414.pdf.task_71_16_16,TIME_DOC_overlappingpdfs.135414.pdf.task_71_18_19,tullock formation,Early Paleocene|65.5000|61.7000,t
579468,overlappingpdfs.138450.pdf.task,FORMATIONINTERVAL,ROCK_DOC_overlappingpdfs.138450.pdf.task_414_12_14,TIME_DOC_overlappingpdfs.138450.pdf.task_414_10_11,hell creek formation,Late Cretaceous|99.6000|65.5000,t
592469,overlappingpdfs.1376.pdf.task,FORMATIONINTERVAL,ROCK_DOC_overlappingpdfs.1376.pdf.task_1547_19_21,TIME_DOC_overlappingpdfs.1376.pdf.task_1547_17_18,bajo barreal formation,Late Cretaceous|99.6000|65.5000,t
596409,overlappingpdfs.132216.pdf.task,FORMATIONINTERVAL,ROCK_DOC_overlappingpdfs.132216.pdf.task_853_14_14,TIME_DOC_overlappingpdfs.132216.pdf.task_853_13_13,yixian formation,Cretaceous|145.00000|66.00000,t
605436,overlappingpdfs.132301.pdf.task,FORMATIONINTERVAL,ROCK_DOC_overlappingpdfs.132301.pdf.task_1452_8_9,TIME_DOC_overlappingpdfs.132301.pdf.task_1452_7_7,santa clara formation,Triassic|252.17000|201.30000,t
578122,overlappingpdfs.138578.pdf.task,FORMATIONINTERVAL,ROCK_DOC_overlappingpdfs.138578.pdf.task_4556_2_3,TIME_DOC_overlappingpdfs.138578.pdf.task_4556_0_1,milwaukee formation,Middle Devonian|397.5000|385.3000,t
608903,overlappingpdfs.132522.pdf.task,FORMATIONINTERVAL,ROCK_DOC_overlappingpdfs.132522.pdf.task_882_6_7,TIME_DOC_overlappingpdfs.132522.pdf.task_882_13_13,changwu formation,Katian|453.00000|445.20000,t
616822,overlappingpdfs.136750.pdf.task,FORMATIONINTERVAL,ROCK_DOC_overlappingpdfs.136750.pdf.task_165_17_17,TIME_DOC_overlappingpdfs.136750.pdf.task_165_20_20,racine dolomite,Silurian|443.40000|419.20000,t
580727,overlappingpdfs.1390.pdf.task,FORMATIONINTERVAL,ROCK_DOC_overlappingpdfs.1390.pdf.task_20_0_1,TIME_DOC_overlappingpdfs.1390.pdf.task_20_3_4,tlayua formation,Early Cretaceous|145.5000|99.6000,t
611943,overlappingpdfs.132859.pdf.task,FORMATIONINTERVAL,ROCK_DOC_overlappingpdfs.132859.pdf.task_314_17_17,TIME_DOC_overlappingpdfs.132859.pdf.task_314_13_13,nacimiento formation,Torrejonian|63.30000|61.70000,t
618862,overlappingpdfs.138453.pdf.task,FORMATIONINTERVAL,ROCK_DOC_overlappingpdfs.138453.pdf.task_768_33_34,TIME_DOC_overlappingpdfs.138453.pdf.task_768_25_25,cedar valley formation,Taghanic|388.10000|383.70000,t
588706,overlappingpdfs.132896.pdf.task,FORMATIONINTERVAL,ROCK_DOC_overlappingpdfs.132896.pdf.task_254_7_8,TIME_DOC_overlappingpdfs.132896.pdf.task_254_11_12,iren dabasu formation,Late Cretaceous|99.6000|65.5000,t
587447,overlappingpdfs.132965.pdf.task,FORMATIONINTERVAL,ROCK_DOC_overlappingpdfs.132965.pdf.task_724_26_27,TIME_DOC_overlappingpdfs.132965.pdf.task_724_17_17,kuwajima formation,Neocomian|145.00000|130.00000,t
597200,overlappingpdfs.132254.pdf.task,FORMATIONINTERVAL,ROCK_DOC_overlappingpdfs.132254.pdf.task_14_11_11,TIME_DOC_overlappingpdfs.132254.pdf.task_14_21_21,crato formation,Aptian|125.00000|113.00000,t
