id,docid,type,eid1,eid2,entity1,entity2,is_correct
549664,overlappingpdfs.132315.pdf.task,TAXONOMY,TAXON_DOC_overlappingpdfs.132315.pdf.task_426_7_7,TAXON_DOC_overlappingpdfs.132315.pdf.task_426_0_0,velociraptorinae,dromaeosauridae,t
419365,overlappingpdfs.138434.pdf.task,TAXONOMY,TAXON_DOC_overlappingpdfs.138434.pdf.task_358_36_36,TAXON_DOC_overlappingpdfs.138434.pdf.task_358_8_8,patellilabia,knightitinae,t
376033,overlappingpdfs.132196.pdf.task,TAXONOMY,TAXON_DOC_overlappingpdfs.132196.pdf.task_780_4_4,TAXON_DOC_overlappingpdfs.132196.pdf.task_780_11_11,meiolania,meiolaniidae,t
393014,overlappingpdfs.132974.pdf.task,TAXONOMY,TAXON_DOC_overlappingpdfs.132974.pdf.task_10_15_15,TAXON_DOC_overlappingpdfs.132974.pdf.task_10_23_23,wantzosaurus,trematosauridae,t
504276,overlappingpdfs.132453.pdf.task,TAXONOMY,TAXON_DOC_overlappingpdfs.132453.pdf.task_335_4_4,TAXON_DOC_overlappingpdfs.132453.pdf.task_335_12_12,lacusovagus,chaoyangopteridae,t
464464,overlappingpdfs.1367.pdf.task,TAXONOMY,TAXON_DOC_overlappingpdfs.1367.pdf.task_96_6_6,TAXON_DOC_overlappingpdfs.1367.pdf.task_96_1_1,sarcopterygii,osteichthyes,t
468595,overlappingpdfs.133023.pdf.task,TAXONOMY,TAXON_DOC_overlappingpdfs.133023.pdf.task_569_7_7,TAXON_DOC_overlappingpdfs.133023.pdf.task_569_51_51,ceratodus,ceratodontidae,t
545856,overlappingpdfs.131528.pdf.task,TAXONOMY,TAXON_DOC_overlappingpdfs.131528.pdf.task_887_2_2,TAXON_DOC_overlappingpdfs.131528.pdf.task_887_1_1,inadunata,crinoidea,t
491301,overlappingpdfs.138099.pdf.task,TAXONOMY,TAXON_DOC_overlappingpdfs.138099.pdf.task_986_23_23,TAXON_DOC_overlappingpdfs.138099.pdf.task_986_8_8,anchomomys,adapinae,t
531186,overlappingpdfs.132581.pdf.task,TAXONOMY,TAXON_DOC_overlappingpdfs.132581.pdf.task_318_34_34,TAXON_DOC_overlappingpdfs.132581.pdf.task_318_51_51,lepidaster,lepidasteridae,t
