weight	pos_examples	neg_examples	queries	description
1.45266	1500	1245	2509	f_has_spouse_features-NGRAM_1_[wife]
1.40876	1500	1245	2509	f_has_spouse_features-INV_NGRAM_1_[wife]
1.38993	949	558	880	f_has_spouse_features-NGRAM_1_[husband]
1.33699	949	558	880	f_has_spouse_features-INV_NGRAM_1_[husband]
1.27709	401	425	1088	f_has_spouse_features-INV_LENGTHS_[4_2]
1.22152	401	425	1088	f_has_spouse_features-LENGTHS_[2_4]
1.16876	487	276	530	f_has_spouse_features-INV_NGRAM_1_[marry]
1.12548	487	276	530	f_has_spouse_features-NGRAM_1_[marry]
1.11094	369	453	831	f_has_spouse_features-INV_LENGTHS_[2_4]
1.0991	5053	14680	26128	f_has_spouse_features-INV_LENGTHS_[2_2]
1.08611	1885	4286	8372	f_has_spouse_features-INV_LENGTHS_[2_3]
1.08465	369	453	831	f_has_spouse_features-LENGTHS_[4_2]
1.08145	1885	4286	8372	f_has_spouse_features-LENGTHS_[3_2]
1.06058	241	210	628	f_has_spouse_features-INV_W_LEMMA_L_1_R_1_[.]_[.]
1.03058	241	210	628	f_has_spouse_features-W_LEMMA_L_1_R_1_[.]_[.]
1.00097	5053	14680	26128	f_has_spouse_features-LENGTHS_[2_2]
0.976163	140	42	50	f_has_spouse_features-INV_NGRAM_1_[ex-husband]
0.973073	1469	4350	9003	f_has_spouse_features-LENGTHS_[2_3]
0.966201	192	112	147	f_has_spouse_features-INV_NGRAM_1_[girlfriend]
0.940016	156	69	84	f_has_spouse_features-NGRAM_1_[hubby]
0.92871	1469	4350	9003	f_has_spouse_features-INV_LENGTHS_[3_2]
0.917655	192	112	147	f_has_spouse_features-NGRAM_1_[girlfriend]
0.892243	140	42	50	f_has_spouse_features-NGRAM_1_[ex-husband]
0.891132	156	69	84	f_has_spouse_features-INV_NGRAM_1_[hubby]
0.868	143	102	224	f_has_spouse_features-NGRAM_1_[partner]
0.850398	417	20	25	f_has_spouse_features-INV_BETW_D_[prep_of DICT_married appos]
0.849673	230	42	147	f_has_spouse_features-INV_NGRAM_1_[widower]
0.847347	186	38	79	f_has_spouse_features-INV_POS_SEQ_[CC NN]
0.833708	230	42	147	f_has_spouse_features-NGRAM_1_[widower]
0.833705	107	62	120	f_has_spouse_features-NGRAM_1_[ex-wife]
0.819902	417	20	25	f_has_spouse_features-BETW_D_[appos DICT_married prep_of]
0.812338	186	38	79	f_has_spouse_features-POS_SEQ_[CC NN]
0.810355	107	62	120	f_has_spouse_features-INV_NGRAM_1_[ex-wife]
0.794561	143	102	224	f_has_spouse_features-INV_NGRAM_1_[partner]
0.787954	550	1716	4724	f_has_spouse_features-INV_LENGTHS_[3_3]
0.780174	184	151	270	f_has_spouse_features-INV_NGRAM_1_[widow]
0.745371	37	6	10	f_has_spouse_features-BETW_D_[appos DICT_married poss]
0.733919	184	151	270	f_has_spouse_features-NGRAM_1_[widow]
0.729971	37	6	10	f_has_spouse_features-INV_BETW_D_[poss DICT_married appos]
0.698629	178	84	151	f_has_spouse_features-INV_NGRAM_1_[divorce]
0.694341	134	90	148	f_has_spouse_features-INV_NGRAM_1_[boyfriend]
0.686583	1774	2124	3612	f_has_spouse_features-NGRAM_1_[she]
