Benazir Bhutto-Asif Ali Zardari	45
Asif Ali Zardari-Benazir Bhutto	42
Nicolas Sarkozy-Carla Bruni	24
Carla Bruni-Nicolas Sarkozy	22
Britney Spears-Kevin Federline	21
Kevin Federline-Britney Spears	21
Bill Clinton-Hillary Rodham Clinton	18
Hillary Rodham Clinton-Bill Clinton	16
Paul McCartney-Heather Mills	16
Heather Mills-Paul McCartney	14
Elizabeth Edwards-John Edwards	11
Michelle Obama-Barack Obama	11
Barack Obama-Michelle Obama	10
Cindy McCain-John McCain	10
Jennifer Lopez-Marc Anthony	10
John Edwards-Elizabeth Edwards	9
John McCain-Cindy McCain	9
Madonna-Guy Ritchie	9
Marc Anthony-Jennifer Lopez	8
Guy Ritchie-Madonna	6
Katie Holmes-Tom Cruise	6
Keith Urban-Nicole Kidman	6
Nicole Kidman-Keith Urban	6
Tom Cruise-Katie Holmes	6
shane deary-keri russell	5
Arnold Schwarzenegger-Maria Shriver	4
Aung San Suu Kyi-Michael Aris	4
Billy Graham-Ruth Graham	4
Cherie Blair-Tony Blair	4
Heidi Montag-Spencer Pratt	4
Maria Shriver-Arnold Schwarzenegger	4
Ruth Graham-Billy Graham	4
Tony Blair-Cherie Blair	4
Adi Godrej-Parmeshwar	3
Ann Romney-Mitt Romney	3
Ashton Kutcher-Demi Moore	3
Brad Pitt-Jennifer Aniston	3
Dave Eggers-Vendela Vida	3
Diane Patrick-Deval Patrick	3
Eva Longoria-Tony Parker	3
Gabriel Aubry-Halle Berry	3
George W. Bush-Laura Bush	3
Halle Berry-Gabriel Aubry	3
Jessica Biel-Justin Timberlake	3
Jessica Simpson-Nick Lachey	3
John Kerry-Teresa Heinz Kerry	3
Justin Timberlake-Jessica Biel	3
Mitt Romney-Ann Romney	3
Nawaz Sharif-Asif Ali Zardari	3
Nick Lachey-Jessica Simpson	3
